group,row,K,distance,waiting,route_time,comp_time
R1,I1,13.6,1436.7,258.8,2695.5,---
R1,GENEROUS-00,13.5,1424.4,238.7,2663.1,---
R1,GENEROUS-20,12.8,1327.2,131.2,2458.4,4:24
R1,GENEROUS-50,12.6,1296.8,110.6,2407.4,11:19
R2,I1,3.3,1402.4,175.6,2578.1,---
R2,GENEROUS-00,3.2,1321.6,159.3,2480.9,---
R2,GENEROUS-20,3.1,1167.1,49.7,2216.8,14:55
R2,GENEROUS-50,3.0,1117.7,65.3,2183.0,39:44
C1,I1,10.0,951.9,152.3,10104.2,---
C1,GENEROUS-00,10.0,947.1,99.9,10046.9,---
C1,GENEROUS-20,10.0,846.4,0.0,9846.4,4:08
C1,GENEROUS-50,10.0,838.0,0.0,9838.0,10:01
C2,I1,3.1,692.7,228.6,9921.4,---
C2,GENEROUS-00,3.3,784.2,212.0,9996.2,---
C2,GENEROUS-20,3.0,596.9,0.0,9596.9,15:52
C2,GENEROUS-50,3.0,589.9,0.0,9589.9,41:22
RC1,I1,13.5,1596.5,178.5,2775.0,---
RC1,GENEROUS-00,13.1,1589.5,129.4,2718.9,---
RC1,GENEROUS-20,12.8,1463.6,83.2,2546.8,4:30
RC1,GENEROUS-50,12.1,1446.2,63.7,2509.9,11:13
RC2,I1,3.9,1682.1,273.2,2955.4,---
RC2,GENEROUS-00,3.9,1634.9,228.3,2863.2,---
RC2,GENEROUS-20,3.4,1402.4,97.3,2499.7,13:12
RC2,GENEROUS-50,3.4,1360.6,101.0,2461.6,35:34
